,Unnamed: 0,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower,Call
322,323,TITAN,EQ,2018-08-28,890.9,895.0,897.75,871.55,889.05,888.3,880.28,3563757,3137115209.2,98766,1635113,45.88,2018,8,-0.29,Slight,915.1678571428572,16.741629448583534,948.6511160400242,881.6845982456902,Hold Short / Liquidate Buy
323,324,TITAN,EQ,2018-08-29,888.3,888.0,895.6,876.5,882.85,882.8,885.81,1863018,1650284332.35,50024,643790,34.56,2018,8,-0.62,Slight negative,911.9928571428571,18.40618475846932,948.8052266597957,875.1804876259185,Hold Short / Liquidate Buy
324,325,TITAN,EQ,2018-08-30,882.8,884.45,891.0,876.0,881.0,878.35,882.58,1758855,1552338716.2,52585,565389,32.15,2018,8,-0.5,Slight,907.9464285714286,19.17033429633491,946.2870971640983,869.6057599787588,Hold Short / Liquidate Buy
325,326,TITAN,EQ,2018-08-31,878.35,881.0,894.8,877.1,893.0,891.9,887.43,1677232,1488431623.45,42986,728295,43.42,2018,8,1.54,Positive,906.275,19.49718668069333,945.2693733613867,867.2806266386133,Hold Short / Liquidate Buy
326,327,TITAN,EQ,2018-09-03,891.9,896.85,921.35,891.15,911.5,912.75,912.8,4972521,4538894314.8,85525,2346459,47.19,2018,9,2.34,Positive,905.75,19.192867264857025,944.135734529714,867.364265470286,Hold Buy / Liquidate Short
327,328,TITAN,EQ,2018-09-04,912.75,917.0,928.4,877.1,880.4,880.9,901.02,3880086,3496045808.35,84781,790198,20.37,2018,9,-3.49,Among top losers,903.4107142857143,20.128932282548686,943.6685788508117,863.1528497206169,Hold Short / Liquidate Buy
328,329,TITAN,EQ,2018-09-05,880.9,875.1,882.4,851.65,865.35,863.9,866.14,2990706,2590375684.95,89230,867241,29.0,2018,9,-1.93,Negative,899.0035714285714,21.59784946814421,942.1992703648598,855.807872492283,Hold Short / Liquidate Buy
329,330,TITAN,EQ,2018-09-06,863.9,871.0,883.5,858.1,867.0,867.15,871.08,2399973,2090569943.55,56546,541224,22.55,2018,9,0.38,Slight,895.267857142857,22.300893455226493,939.86964405331,850.666070232404,Hold Short / Liquidate Buy
330,331,TITAN,EQ,2018-09-07,867.15,871.0,876.0,861.05,868.8,867.45,869.36,1297983,1128414970.3,39024,320242,24.67,2018,9,0.03,Slight,889.975,19.024040964412606,928.0230819288253,851.9269180711748,Hold Short / Liquidate Buy
331,332,TITAN,EQ,2018-09-10,867.45,864.0,868.0,850.0,856.05,857.55,857.67,1576682,1352277480.75,52824,434198,27.54,2018,9,-1.14,Negative,885.392857142857,18.513704457712265,922.4202660582815,848.3654482274325,Hold Short / Liquidate Buy
332,333,TITAN,EQ,2018-09-11,857.55,860.0,860.9,815.8,818.95,820.75,831.01,4918816,4087585770.35,118608,1770595,36.0,2018,9,-4.29,Among top losers,878.5678571428571,23.249752745943624,925.0673626347443,832.0683516509698,Hold Short / Liquidate Buy
333,334,TITAN,EQ,2018-09-12,820.75,817.0,838.35,790.15,824.9,826.45,811.83,6728840,5462680653.5,164967,1538262,22.86,2018,9,0.69,Slight positive,872.4642857142857,24.97822458256314,922.420734879412,822.5078365491594,Hold Short / Liquidate Buy
