Date,Unnamed: 0,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,pc_Open_Close,pc_High_Low,5_day_mean,5_day_std,Action
2018-08-14,2396,DHFL,EQ,2018-08-14,622.25,629.9,665.5,625.2,657.25,658.2,644.8,10109229,6518407559.15,109246,1610285,15.93,2018,8,5.78,Among top gainers,0.04492776631211314,0.06445937300063972,1.4780000000000006,2.604288770470738,-1
2018-08-16,2407,DHFL,EQ,2018-08-16,658.2,656.8,663.7,644.0,649.35,648.35,653.25,3017390,1971120921.0,31590,637258,21.12,2018,8,-1.5,Negative,-0.012865408038976754,0.030590062111801312,1.2420000000000007,2.8498456098532756,1
2018-08-17,2418,DHFL,EQ,2018-08-17,648.35,652.4,673.6,649.5,670.3,670.35,665.35,4385256,2917708656.35,51860,793509,18.09,2018,8,3.39,Among top gainers,0.027513795217657948,0.03710546574287917,1.7400000000000007,2.98928921317426,1
2018-08-20,2432,DHFL,EQ,2018-08-20,670.35,674.85,684.9,668.35,673.0,671.95,677.34,5144479,3484559195.15,50864,956407,18.59,2018,8,0.24,Slight,-0.004297251241016488,0.024762474751253018,1.9380000000000006,2.8105728953364624,-1
2018-08-21,2442,DHFL,EQ,2018-08-21,671.95,676.8,681.75,659.05,667.25,665.85,667.72,5754601,3842452708.55,34569,2138478,37.16,2018,8,-0.91,Slight negative,-0.0161790780141843,0.034443517183825274,1.4000000000000006,3.0917713369523283,-1
2018-08-23,2454,DHFL,EQ,2018-08-23,665.85,668.0,668.0,651.15,658.5,659.4,657.56,2423862,1593823133.1,19848,787191,32.48,2018,8,-0.97,Slight negative,-0.012874251497006023,0.025877294018275394,0.05000000000000053,1.9720674430657783,-1
2018-08-24,2466,DHFL,EQ,2018-08-24,659.4,655.05,666.6,652.1,656.5,658.0,658.95,1999178,1317356255.15,19631,678897,33.96,2018,8,-0.21,Slight,0.004503473017326991,0.022235853396718294,0.30800000000000055,1.7950264622004866,-1
2018-08-27,2478,DHFL,EQ,2018-08-27,658.0,658.0,663.55,654.5,655.3,656.65,659.06,1725486,1137196933.65,13616,655431,37.99,2018,8,-0.21,Slight,-0.0020516717325228307,0.013827349121466699,-0.4119999999999995,0.5162557505732978,1
2018-08-28,2488,DHFL,EQ,2018-08-28,656.65,656.7,674.5,653.0,665.55,666.8,666.15,2664161,1774721907.45,34531,459416,17.24,2018,8,1.55,Positive,0.015379929952794134,0.032924961715160794,-0.14999999999999947,1.0182337649086273,-1
2018-08-29,2499,DHFL,EQ,2018-08-29,666.8,668.0,672.65,662.4,667.0,666.45,667.05,2925940,1951758181.45,17929,930153,31.79,2018,8,-0.05,Slight,-0.002320359281437058,0.015474033816425122,0.02200000000000053,0.9262397097943904,-1
2018-08-30,2508,DHFL,EQ,2018-08-30,666.45,668.0,674.2,657.4,663.4,665.35,665.48,4235763,2818817793.8,25339,1143637,27.0,2018,8,-0.17,Slight,-0.003967065868263439,0.025555217523577835,0.18200000000000052,0.7675415298210225,1
2018-08-31,2518,DHFL,EQ,2018-08-31,665.35,664.0,676.9,662.0,666.65,667.65,668.77,4049806,2708389294.9,29591,1877740,46.37,2018,8,0.35,Slight,0.005496987951807195,0.0225075528700906,0.2940000000000005,0.736260823349983,1
2018-09-03,2529,DHFL,EQ,2018-09-03,667.65,669.75,691.5,660.3,678.1,679.25,677.86,6716170,4552652665.05,50011,1433381,21.34,2018,9,1.74,Positive,0.014184397163120567,0.0472512494320764,0.6840000000000005,0.9006553169775842,-1
2018-09-04,2541,DHFL,EQ,2018-09-04,679.25,681.0,682.0,647.0,651.0,651.75,660.73,3459672,2285916953.85,36159,820439,23.71,2018,9,-4.05,Among top losers,-0.042951541850220265,0.05409582689335394,-0.4359999999999994,2.158328056621606,-1
2018-09-05,2553,DHFL,EQ,2018-09-05,651.75,647.0,652.35,639.55,649.9,646.5,645.1,3815603,2461431385.35,27274,749409,19.64,2018,9,-0.81,Slight negative,-0.0007727975270479134,0.0200140723946526,-0.5879999999999994,2.1510973943547977,1
2018-09-06,2562,DHFL,EQ,2018-09-06,646.5,652.0,654.0,640.0,646.8,648.6,645.75,3095095,1998647897.75,38262,1095886,35.41,2018,9,0.32,Slight,-0.005214723926380334,0.021875,-0.4899999999999995,2.1857836123459244,-1
2018-09-07,2571,DHFL,EQ,2018-09-07,648.6,647.9,657.7,643.1,648.95,647.75,649.25,1812045,1176468836.65,17042,456871,25.21,2018,9,-0.13,Slight,-0.00023151720944586705,0.022702534598040773,-0.5859999999999995,2.1499139517664423,-1
2018-09-10,2583,DHFL,EQ,2018-09-10,647.75,646.9,651.75,628.1,631.95,632.3,632.76,4646372,2940051530.5,23697,2131449,45.87,2018,9,-2.39,Negative,-0.022569176070490065,0.03765323992994742,-1.4119999999999995,1.7973090997377175,-1
2018-09-11,2593,DHFL,EQ,2018-09-11,632.3,633.95,633.95,610.0,610.2,611.7,620.37,4093167,2539290264.15,27513,1555598,38.0,2018,9,-3.26,Among top losers,-0.035097405158135496,0.03926229508196729,-1.2539999999999993,1.5208977611923833,-1
2018-09-12,2605,DHFL,EQ,2018-09-12,611.7,610.95,618.0,607.05,610.25,610.15,611.63,7340775,4489839214.35,62687,1899583,25.88,2018,9,-0.25,Slight,-0.0013094361240691844,0.018038052878675638,-1.1419999999999995,1.5811925878905462,1
2018-09-14,2615,DHFL,EQ,2018-09-14,610.15,615.0,624.5,613.0,614.55,614.2,617.47,5318535,3284023122.55,50983,2092548,39.34,2018,9,0.66,Slight positive,-0.0013008130081300074,0.018760195758564437,-1.0739999999999994,1.6648813771557427,-1
2018-09-17,2627,DHFL,EQ,2018-09-17,614.2,612.0,616.9,607.45,610.2,610.2,611.08,4951135,3025533268.4,40864,1394620,28.17,2018,9,-0.65,Slight negative,-0.002941176470588161,0.015556835953576313,-1.1779999999999995,1.606384138367907,1
2018-09-18,2637,DHFL,EQ,2018-09-18,610.2,611.0,619.4,608.35,610.3,610.55,612.12,4788983,2931452586.65,23871,792003,16.54,2018,9,0.06,Slight,-0.0007364975450082577,0.018163885920933598,-0.6879999999999996,1.5153448452415048,-1
2018-09-19,2646,DHFL,EQ,2018-09-19,610.55,612.4,615.95,610.0,610.0,610.55,610.66,5463048,3336079943.45,24840,1968294,36.03,2018,9,0.0,Slight,-0.003020901371652552,0.009754098360655812,-0.03599999999999968,0.47898851760767364,-1
2018-09-21,2654,DHFL,EQ,2018-09-21,610.55,615.15,615.15,274.75,337.0,350.55,380.61,115298628,43884228305.85,1434604,21096233,18.3,2018,9,-42.58,Bear drop,-0.43013899049012433,1.2389444949954502,-8.501999999999999,19.055826405590494,1
2018-09-24,2674,DHFL,EQ,2018-09-24,350.55,385.6,438.15,371.65,392.15,393.9,401.51,79286487,31834680999.7,929996,12820256,16.17,2018,9,12.37,Bull run,0.021524896265560048,0.17893179066325846,-6.16,21.075883136893694,-1
2018-09-25,2693,DHFL,EQ,2018-09-25,393.9,395.0,396.45,256.05,305.5,299.45,312.11,129310441,40358749644.55,1701742,19624924,15.18,2018,9,-23.98,Bear drop,-0.24189873417721522,0.5483304042179261,-10.826,22.108289847928084,1
2018-09-26,2712,DHFL,EQ,2018-09-26,299.45,311.0,320.0,277.0,303.4,305.45,303.78,69609470,21145712315.3,875226,10792485,15.5,2018,9,2.0,Positive,-0.017845659163987174,0.1552346570397112,-10.438,22.36266129064249,-1
2018-09-27,2729,DHFL,EQ,2018-09-27,305.45,308.0,314.7,280.0,293.5,290.2,297.36,41546114,12354208291.2,413700,9266291,22.3,2018,9,-4.99,Among top losers,-0.05779220779220783,0.12392857142857139,-11.436000000000002,21.88665872169619,-1
2018-09-28,2746,DHFL,EQ,2018-09-28,290.2,296.05,301.75,252.65,276.0,274.95,276.29,34815340,9618971531.4,468743,4903941,14.09,2018,9,-5.25,Among top losers,-0.07127174463773019,0.19433999604195526,-3.9700000000000015,13.282652220095194,1
2018-10-01,2764,DHFL,EQ,2018-10-01,274.95,275.0,324.0,265.0,321.15,318.5,296.47,36573239,10842782415.55,389215,4794506,13.11,2018,10,15.84,Bull run,0.15818181818181817,0.22264150943396227,-3.276000000000002,14.39398937056714,-1
2018-10-03,2782,DHFL,EQ,2018-10-03,318.5,317.9,333.7,304.05,315.8,317.65,322.34,29658538,9560205521.1,339476,4533655,15.29,2018,10,-0.27,Slight,-0.0007864108210128972,0.09751685578029921,1.4659999999999982,8.612423004009948,-1
