Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty
MUTHOOTFIN,NG,2018-08-31,1000,998,1000,998,1000,1000,998.04,102,101800,2,100,98.04
MUTHOOTFIN,EQ,2018-09-03,409.4,414.8,414.8,402.1,403.45,404.3,406.87,601928,244908569.8,11359,283757,47.14
MUTHOOTFIN,EQ,2018-09-04,404.3,404,408.6,398,403.9,399.85,402.48,813483,327409803.95,10235,288422,35.46
MUTHOOTFIN,NG,2018-09-04,1000,1002,1003,1000.01,1003,1003,1002.62,629,630645.74,8,594,94.44
MUTHOOTFIN,EQ,2018-09-05,399.85,405,442.4,401.25,441.85,436.8,428.68,10490368,4496972357.8,125338,2010814,19.17
MUTHOOTFIN,NF,2018-09-05,994.5,1000,1002.5,1000,1002.5,1002.5,1000.36,96,96035,2,96,100
MUTHOOTFIN,EQ,2018-09-06,436.8,442,457.95,435.05,450.6,450.85,448.75,5393398,2420278545.75,83663,794213,14.73
MUTHOOTFIN,NB,2018-09-06,1953,1962.66,1962.66,1962.01,1962.01,1962.01,1962.56,60,117753.55,3,60,100
MUTHOOTFIN,NF,2018-09-06,1002.5,1008.9,1008.9,1008.9,1008.9,1008.9,1008.9,50,50445,1,50,100
MUTHOOTFIN,EQ,2018-09-07,450.85,449.9,470,445.1,469,467.05,462.02,2905981,1342610099.1,44674,431350,14.84
MUTHOOTFIN,EQ,2018-09-10,467.05,468.8,474.35,451,453.4,453.35,461.62,1917524,885161739.55,39520,714346,37.25
MUTHOOTFIN,NB,2018-09-10,1962.01,1960.1,1970,1960.1,1970,1970,1967.34,41,80661.1,2,41,100
MUTHOOTFIN,EQ,2018-09-11,453.35,453.3,455.95,434.05,438.5,436.95,440.83,2537875,1118778028,52389,955140,37.64
MUTHOOTFIN,NB,2018-09-11,1970,1965.01,1968.99,1965.01,1968.99,1968.99,1966.53,324,637156.76,3,324,100
MUTHOOTFIN,NF,2018-09-11,1008.9,1005,1009.8,1005,1005,1005,1005.69,70,70398,5,70,100
MUTHOOTFIN,NG,2018-09-11,1003,998,1004,998,1004,1004,1003.99,527,529102,2,526,99.81
MUTHOOTFIN,EQ,2018-09-12,436.95,438.5,459.1,437.15,453,451.1,447.6,2184014,977555012.05,30930,607259,27.8
MUTHOOTFIN,EQ,2018-09-14,451.1,452.55,459.45,446.15,456.4,455.45,452.83,931658,421878895.45,14659,131783,14.14
MUTHOOTFIN,NF,2018-09-14,1005,1011,1011,1011,1011,1011,1011,100,101100,1,100,100
MUTHOOTFIN,EQ,2018-09-17,455.45,454,456.8,445.2,450,449.5,451.6,724591,327228301.8,15997,176456,24.35
MUTHOOTFIN,NB,2018-09-17,1968.99,1965.25,1975.9,1965.25,1975.7,1975.78,1972.42,65,128207,6,65,100
MUTHOOTFIN,EQ,2018-09-18,449.5,446,454,441.25,446.9,444.05,448.7,410766,184308921.2,6196,72286,17.6
MUTHOOTFIN,NB,2018-09-18,1975.78,1974,1975.01,1974,1975,1975,1974.51,205,404775.1,7,205,100
MUTHOOTFIN,NF,2018-09-18,1011,991.01,994.01,991.01,994.01,994.01,991.67,128,126933.28,2,128,100
