Date,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,Volatility,21_day_SMA,34_day_SMA,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
2017-08-14,DRREDDY,EQ,2017-08-14,2011.15,2000.0,2039.9,1970.1,2002.0,2002.05,2004.45,843270,1690295221.6,39430,125561,14.89,2017,8,-0.45,Slight,0.07905943697155175,2426.166666666667,2523.291176470588,HODL,2275.5750000000003,237.6826170385798,2750.94023407716,1800.2097659228407
2017-08-16,DRREDDY,EQ,2017-08-16,2002.05,1995.0,2017.8,1970.05,1992.45,2005.25,1994.02,662136,1320311276.5,32294,216468,32.69,2017,8,0.16,Slight,0.07940614301055669,2393.2142857142862,2504.276470588235,HODL,2225.425,212.28518259643232,2649.995365192865,1800.8546348071354
2017-08-17,DRREDDY,EQ,2017-08-17,2005.25,2010.0,2031.9,1992.45,2007.9,2011.25,2011.74,540131,1086605443.75,24709,200279,37.08,2017,8,0.3,Slight,0.0815021473469059,2359.5142857142864,2485.445588235294,HODL,2181.9178571428574,185.89698512797634,2553.71182739881,1810.1238868869048
2017-08-18,DRREDDY,EQ,2017-08-18,2011.25,1998.0,2007.55,1971.3,1981.05,1982.0,1986.4,349297,693842325.25,17725,119347,34.17,2017,8,-1.45,Negative,0.06911165568105565,2321.8000000000006,2464.6191176470584,HODL,2147.421428571429,173.74824040535447,2494.9179093821376,1799.92494776072
2017-08-21,DRREDDY,EQ,2017-08-21,1982.0,1990.0,2001.0,1921.1,1934.5,1931.1,1960.09,418295,819896731.85,19527,133150,31.83,2017,8,-2.57,Negative,0.06996051635646837,2282.8000000000006,2442.517647058823,HODL,2115.128571428572,168.48959990078367,2452.1077712301394,1778.1493716270045
2017-08-22,DRREDDY,EQ,2017-08-22,1931.1,1945.0,2014.0,1935.0,1978.8,1984.15,1979.81,772164,1528737153.65,38427,123757,16.03,2017,8,2.75,Positive,0.05682327422513081,2245.7333333333336,2423.707352941176,HODL,2083.171428571429,144.5919799274553,2372.3553884263392,1793.9874687165182
2017-08-23,DRREDDY,EQ,2017-08-23,1984.15,1991.0,2053.45,1991.0,2028.3,2030.95,2030.2,809996,1644452739.95,39497,130425,16.1,2017,8,2.36,Positive,0.05062835496317352,2214.0428571428574,2405.0602941176467,HODL,2058.3428571428576,117.22335494710926,2292.7895670370763,1823.8961472486392
2017-08-24,DRREDDY,EQ,2017-08-24,2030.95,2028.0,2100.0,2010.55,2080.0,2088.15,2069.2,1124967,2327782218.15,64453,332467,29.55,2017,8,2.82,Positive,0.056284158468120904,2185.280952380953,2388.0088235294115,HODL,2041.5000000000005,89.87463918832628,2221.249278376653,1861.750721623348
2017-08-28,DRREDDY,EQ,2017-08-28,2088.15,2084.0,2089.75,2027.1,2050.0,2049.4,2051.48,844176,1731813221.2,39746,101412,12.01,2017,8,-1.86,Negative,0.061577826848611024,2153.9500000000007,2368.7147058823525,HODL,2027.9178571428579,69.7593793173961,2167.43661577765,1888.3990985080657
2017-08-29,DRREDDY,EQ,2017-08-29,2049.4,2049.0,2067.5,2032.0,2037.15,2042.05,2049.47,607366,1244778638.25,24715,138700,22.84,2017,8,-0.36,Slight,0.061972271566984996,2126.4119047619056,2348.5926470588233,HODL,2016.1392857142862,47.610394706062486,2111.360075126411,1920.9184963021612
