,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
31,M&amp;M,EQ,2017-06-28,1370.3,1370.0,1375.0,1348.75,1353.0,1356.05,1358.35,827917,1124602077.0,28578,524256,63.32,2017,6,-1.04,Negative
32,M&amp;M,EQ,2017-06-29,1356.05,1360.0,1379.1,1352.15,1360.1,1355.65,1364.33,936894,1278234629.6,40064,603955,64.46,2017,6,-0.03,Slight
33,M&amp;M,EQ,2017-06-30,1355.65,1355.0,1358.85,1345.1,1355.0,1348.6,1349.78,954758,1288711224.3,24904,675209,70.72,2017,6,-0.52,Slight negative
34,M&amp;M,EQ,2017-07-03,1348.6,1356.0,1372.0,1343.0,1364.1,1366.45,1365.38,1023959,1398092391.75,27860,673334,65.76,2017,7,1.32,Positive
35,M&amp;M,EQ,2017-07-04,1366.45,1365.0,1377.0,1351.7,1355.0,1355.15,1362.67,430180,586194939.1,18659,261784,60.85,2017,7,-0.83,Slight negative
36,M&amp;M,EQ,2017-07-05,1355.15,1365.0,1395.4,1361.5,1383.0,1385.0,1384.49,1216606,1684373320.1,41595,570632,46.9,2017,7,2.2,Positive
37,M&amp;M,EQ,2017-07-06,1385.0,1393.7,1393.7,1370.0,1370.95,1376.05,1384.15,780888,1080869932.75,32579,545196,69.82,2017,7,-0.65,Slight negative
38,M&amp;M,EQ,2017-07-07,1376.05,1370.4,1393.85,1370.4,1376.0,1376.0,1383.17,658350,910607919.25,29442,464666,70.58,2017,7,-0.0,Slight
39,M&amp;M,EQ,2017-07-10,1376.0,1344.45,1400.0,1344.45,1366.0,1367.4,1367.34,436811,597270472.1,9688,351940,80.57,2017,7,-0.62,Slight negative
40,M&amp;M,EQ,2017-07-11,1367.4,1374.0,1395.0,1373.95,1390.0,1390.15,1390.85,2073421,2883812276.75,62838,1705292,82.25,2017,7,1.66,Positive
41,M&amp;M,EQ,2017-07-12,1390.15,1395.0,1396.1,1375.0,1376.0,1376.7,1383.89,736026,1018578242.95,38796,515386,70.02,2017,7,-0.97,Slight negative
42,M&amp;M,EQ,2017-07-13,1376.7,1369.7,1379.0,1366.05,1369.0,1370.4,1371.53,794838,1090144353.7,32543,604713,76.08,2017,7,-0.46,Slight
43,M&amp;M,EQ,2017-07-14,1370.4,1377.95,1382.45,1369.0,1373.1,1375.55,1377.05,653673,900141583.2,19412,385533,58.98,2017,7,0.38,Slight
44,M&amp;M,EQ,2017-07-17,1375.55,1380.0,1405.4,1378.3,1381.95,1384.6,1393.96,1313078,1830383721.2,40678,705556,53.73,2017,7,0.66,Slight positive
